0 0.0333333 23.7768 20.3606
1 0.0333333 22.8555 19.5247
2 0.0333333 21.9593 18.6837
3 0.0333333 21.0339 17.8678
4 0.0333333 20.1608 17.0601
5 0.0333333 19.224 16.2033
6 0.0666667 18.3368 15.4003
7 0.0666667 17.4737 14.5724
8 0.0666667 16.6291 13.8102
9 0.1 15.7874 12.9782
10 0.133333 14.9474 12.1763
11 0.166667 14.1445 11.3698
12 0.166667 13.3618 10.6148
13 0.266667 12.6081 9.91568
14 0.3 11.8744 9.24806
15 0.4 11.1482 8.59611
16 0.366667 10.4393 7.84396
17 0.5 9.75441 7.22367
18 0.5 9.05459 6.66564
19 0.466667 8.32891 6.04935
20 0.566667 7.65698 5.54441
21 0.566667 6.98456 5.03851
22 0.566667 6.32557 4.43656
23 0.533333 5.65703 3.96849
24 0.6 5.03743 3.5137
25 0.6 4.39188 3.18662
26 0.633333 3.75645 2.84856
27 0.633333 3.14198 2.60724
28 0.666667 2.46552 2.30594
29 0.833333 1.7907 2.04562
30 0.833333 1.26149 1.73898
31 0.9 1.13557 1.48016
32 0.933333 1.24805 1.32895
33 0.9 0.921966 1.25414
34 0.866667 0.724104 0.995754
35 0.933333 0.854347 0.836477
36 0.9 0.724896 0.731822
37 0.933333 0.62452 0.42388
38 1 0.782139 0.570427
39 0.966667 0.877486 0.682534
40 0.966667 0.659242 0.55719
41 1 0.551398 0.519031
42 1 0.63589 0.558682
43 1 0.750623 0.587869
44 0.966667 0.507771 0.526362
45 1 0.505321 0.529013
46 0.966667 0.535344 0.716543
47 1 0.764722 0.985659
48 0.966667 0.462295 0.762253
49 0.933333 0.506766 0.597174
50 1 0.521188 0.516887
51 1 0.493598 0.551187
52 0.966667 0.610097 0.498887
53 0.933333 0.635694 0.542152
54 0.966667 0.609217 0.486971
55 0.933333 0.554339 0.35834
56 1 0.455199 0.336643
57 1 0.663636 0.478996
58 0.966667 0.658571 0.359294
59 0.966667 0.627732 0.394234
60 0.966667 0.387513 0.293887
61 1 0.550144 0.386448
62 1 0.683847 0.424513
63 1 0.510715 0.32543
64 1 0.371165 0.449092
65 1 0.45659 0.393524
66 1 0.673958 0.476289
67 0.966667 0.416688 0.294335
68 0.966667 0.390495 0.473312
69 1 0.39895 0.431244
70 0.966667 0.41445 0.385179
71 1 0.634478 0.405127
72 0.966667 0.338723 0.303172
73 1 0.692459 0.372505
74 0.966667 0.677881 0.351965
75 0.966667 0.252368 0.313999
76 1 0.616562 0.335295
77 1 0.695298 0.295015
78 1 0.455702 0.197353
79 1 0.347833 0.285664
80 1 0.451549 0.255699
81 0.966667 0.689831 0.351971
82 0.933333 0.692148 0.412879
83 0.966667 0.425838 0.207117
84 0.966667 0.456593 0.39184
85 1 0.4984 0.488022
86 0.966667 0.791286 0.534533
87 0.933333 0.268174 0.385058
88 1 0.560931 0.404093
89 0.966667 0.497316 0.514292
90 1 0.424859 0.404524
91 1 0.507123 0.323346
92 0.966667 0.684851 0.419732
93 0.966667 0.47129 0.336169
94 1 0.461432 0.584918
95 1 0.52341 0.317952
96 0.966667 0.635596 0.386118
97 0.966667 0.671536 0.231635
98 0.933333 0.50927 0.404193
99 0.933333 0.197769 0.177487
100 1 0.259137 0.171956
101 1 0.342211 0.15269
102 1 0.412673 0.192942
103 1 0.155677 0.106754
104 1 0.259587 0.215878
105 1 0.338063 0.204466
106 0.966667 0.339442 0.179782
107 0.966667 0.34602 0.30863
108 1 0.318275 0.230584
109 1 0.149504 0.180529
110 1 0.249219 0.232219
111 1 0.193357 0.179802
112 1 0.256848 0.22705
113 1 0.314866 0.255766
114 1 0.329475 0.290742
115 1 0.261988 0.220507
116 1 0.272397 0.23041
117 1 0.300945 0.228758
118 1 0.32294 0.247905
119 1 0.26833 0.168365
120 1 0.308387 0.222213
121 1 0.233881 0.164862
122 1 0.185718 0.138671
123 1 0.317919 0.221646
124 1 0.345098 0.239089
125 1 0.223508 0.132327
126 1 0.219242 0.17085
127 1 0.296462 0.214318
128 1 0.210202 0.0761412
129 1 0.304908 0.191056
130 1 0.25446 0.16365
131 1 0.123644 0.114607
132 1 0.19578 0.199261
133 1 0.229478 0.175303
134 1 0.232519 0.184866
135 1 0.120917 0.129381
136 1 0.272802 0.200201
137 1 0.212939 0.155464
138 1 0.290192 0.194858
139 1 0.0969282 0.07796
140 1 0.215706 0.147061
141 1 0.260628 0.186553
142 1 0.108999 0.0712175
143 1 0.298112 0.196259
144 1 0.194689 0.124576
145 1 0.175127 0.126976
146 1 0.393252 0.251049
147 0.966667 0.120881 0.0926002
148 1 0.33379 0.223274
149 1 0.237429 0.147768
150 1 0.231149 0.171442
151 1 0.394688 0.274423
152 0.966667 0.125436 0.0896148
153 1 0.261189 0.16847
154 1 0.300252 0.188196
155 1 0.0784442 0.074527
156 1 0.229577 0.145329
157 1 0.154161 0.101592
158 1 0.0777126 0.0708429
159 1 0.0941906 0.0680291
160 1 0.0902533 0.0957125
161 1 0.0665108 0.100912
162 1 0.112545 0.09157
163 1 0.11503 0.157934
164 1 0.063246 0.204356
165 1 0.116093 0.250471
166 1 0.041567 0.241498
167 1 0.0909079 0.214183
168 1 0.0693882 0.0579237
169 1 0.0801365 0.173866
170 1 0.112487 0.122998
171 1 0.0888792 0.0681377
172 1 0.112726 0.125506
173 1 0.15603 0.123948
174 1 0.0583145 0.0628871
175 1 0.0704471 0.0941593
176 1 0.105346 0.0911259
177 1 0.0491769 0.0386072
178 1 0.0971237 0.0889761
179 1 0.139702 0.123189
180 1 0.0568746 0.0667658
181 1 0.149201 0.126641
